type,Diameter (m),Radius (m),length (m),bending load (g),bending load (N),E,Deflection (m),notes
REGULAR,0.0017,0.00085,0.153,11,0.107873172,2181415581,0.009,
REGULAR,0.0017,0.00085,0.153,15,0.14709978,2677191849,0.01,
REGULAR,0.0017,0.00085,0.153,19,0.186326388,2825924729,0.012,
REGULAR,0.0017,0.00085,0.153,23,0.225552996,2736685001,0.015,
REGULAR,0.0017,0.00085,0.153,28,0.274586256,2939661638,0.017,
REGULAR,0.0017,0.00085,0.153,32,0.313812864,2855671305,0.02,
REGULAR,0.0017,0.00085,0.153,36,0.353039472,2793591494,0.023,
REGULAR,0.0017,0.00085,0.153,40,0.39226608,2461785608,0.029,
REGULAR,0.0017,0.00085,0.153,43,0.421686036,#DIV/0!,,BREAK
REGULAR,0.0017,0.00085,0.153,,0,#DIV/0!,,
REGULAR,0.0017,0.00085,0.153,,0,#DIV/0!,,
REGULAR,0.0017,0.00085,,,,,,
THIN,0.0014,0.0007,0.153,11,0.107873172,3556994690,0.012,
THIN,0.0014,0.0007,0.153,16,0.156906432,3652101500,0.017,
THIN,0.0014,0.0007,0.153,19,0.186326388,3510799954,0.021,
THIN,0.0014,0.0007,0.153,23,0.225552996,2974941014,0.03,
THIN,0.0014,0.0007,0.153,24,0.235359648,2910268383,0.032,
THIN,0.0014,0.0007,0.153,25,0.2451663,2771684174,0.035,
THIN,0.0014,0.0007,0.153,26,0.254972952,1834350981,0.055,BREAK
THIN,0.0014,0.0007,0.153,,0,#DIV/0!,,
THIN,0.0014,0.0007,0.153,,0,#DIV/0!,,
THIN,0.0014,0.0007,0.153,,0,#DIV/0!,,
THIN,0.0014,0.0007,0.153,,0,#DIV/0!,,
THIN,0.0014,0.0007,,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,11,0.107873172,3499902022,0.032,
ANGEL HAIR,0.0011,0.00055,0.153,12,0.117679824,2349584575,0.052,
ANGEL HAIR,0.0011,0.00055,0.153,13,0.127486476,#DIV/0!,,BREAK
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
ANGEL HAIR,0.0011,0.00055,0.153,,0,#DIV/0!,,
,,,,,0,#DIV/0!,,
