type,Diameter (m),Radius (m),length (m),buckling load (g),buckling load (N),E,,,,,,,,,
REGULAR,0.0017,0.00085,0.25,28,0.274586256,4241246197,,,,,,,,,
REGULAR,0.0017,0.00085,0.23,33,0.323619516,4230824849,,,,,,,,,
REGULAR,0.0017,0.00085,0.21,44,0.431492688,4702693783,,,,,,,,,
REGULAR,0.0017,0.00085,0.19,54,0.529559208,4724505906,,,,,,,,,
REGULAR,0.0017,0.00085,0.17,66,0.647239032,4622715998,,,,,,,,,
REGULAR,0.0017,0.00085,0.15,86,0.843372072,4689606509,,,,,,,,,
REGULAR,0.0017,0.00085,0.13,128,1.255251456,5242665013,,,,,,,,,
REGULAR,0.0017,0.00085,0.11,192,1.882877184,5630436094,,,,,,,,,
REGULAR,0.0017,0.00085,0.09,264,2.588956128,5182560496,,,,,,,,,
REGULAR,0.0017,0.00085,0.07,400,3.9226608,4750195741,,,,,,,,,
REGULAR,0.0017,0.00085,0.05,612,6.001671024,3708060961,,,,,,,,,
THIN,0.0014,0.0007,0.25,11,0.107873172,3622527406,,,,,,,,,
THIN,0.0014,0.0007,0.23,14,0.137293128,3902318251,,,,,,,,,
THIN,0.0014,0.0007,0.21,17,0.166713084,3950267341,,,,,,,,,
THIN,0.0014,0.0007,0.19,22,0.215746344,4184743660,,,,,,,,,
THIN,0.0014,0.0007,0.17,27,0.264779604,4111502742,,,,,,,,,
THIN,0.0014,0.0007,0.15,30,0.29419956,3556663272,,,,,,,,,
THIN,0.0014,0.0007,0.13,46,0.451105992,4096222263,,,,,,,,,
THIN,0.0014,0.0007,0.11,69,0.676658988,4399197282,,,,,,,,,
THIN,0.0014,0.0007,0.09,140,1.37293128,5975194297,,,,,,,,,
THIN,0.0014,0.0007,0.07,204,2.000557008,5267023121,,,,,,,,,
THIN,0.0014,0.0007,0.05,281,2.755669212,3701564368,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.25,5,0.04903326,4320464103,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.23,6,0.058839912,4388208980,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.21,7,0.068646564,4267927259,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.19,9,0.088259868,4491900118,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.17,11,0.107873172,4395121723,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.15,17,0.166713084,5288248062,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.13,21,0.205939692,4906664672,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.11,36,0.353039472,6022381322,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.09,49,0.480525948,5487335048,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.07,71,0.696272292,4809886276,,,,,,,,,
ANGEL HAIR,0.0011,0.00055,0.05,138,1.353317976,4769792370,,,,,,,,,
